% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=867434, Mon Nov  1 10:28:43 2021, <python>{}</python>
61 610 0.5091424711899817 0 0 0.2495196544669066 0.4495459950932888 0.6403758707429542 0.43569866112126726 0.8491665378566533 0.4526870598418192 0.5718878755309332 0.20258307048897606 0.8753291713534882
62 620 0.5255966933571189 0 0 0.2545032321295244 0.470059748802399 0.6650780430664204 0.4277968266476879 0.8829346871332058 0.46998468309634717 0.5784748408141482 0.20556810150909452 0.947767658535698
63 630 0.5163407526045842 0 0 0.25026274438852847 0.4647886022065766 0.6328312847244161 0.42654407450370607 0.8805971879892018 0.47020974856808156 0.5638749715518622 0.19488860084521864 0.947946182564401
64 640 0.46692857936760923 0 0 0.22783461143235198 0.418701128847761 0.5676298488633883 0.3917764724747029 0.8026559855058 0.4251684369418241 0.4915474039224851 0.17124355904357064 0.8596652334440263
65 650 0.46168011638637185 0 0 0.22311974514061658 0.4239989465372914 0.588931124340233 0.39743933206393556 0.7886524733562768 0.4160502590798138 0.48651503417110065 0.16142561610461106 0.8277258141821838
66 660 0.43091501828488776 0 0 0.20809030944401108 0.395866445031488 0.5588473685232771 0.3646540533705683 0.7556349958195597 0.38559060864875805 0.4667086582891318 0.1453455692416454 0.7775627266521022
67 670 0.39867530610211416 0 0 0.19216905197156892 0.3687691575687541 0.5251731492986214 0.33200973018127944 0.662111048487141 0.3515811284242081 0.43000026994320406 0.13100395769836784 0.7173469956033829
68 680 0.3887664553653042 0 0 0.18718140993558058 0.3550624958423803 0.5101236365918635 0.3167623602734249 0.6772743357132971 0.3420644994673691 0.4145795623532538 0.12662900471701458 0.7066391360111951
69 690 0.3718083862221152 0 0 0.18141876860674205 0.34017874175137636 0.4797385341258791 0.3070256748219813 0.6518332802691729 0.3293160588261262 0.4049658928257036 0.11642739139597617 0.6784308968814121
70 700 0.3557788275489155 0 0 0.1712472932273864 0.33279671641961417 0.46568771264477904 0.29178679456946277 0.6209551140460388 0.3191848602446488 0.38284661543900084 0.1083424577515173 0.6542155985680768
71 710 0.3568551663894889 0 0 0.17845700269447046 0.34921744076805805 0.47346621512091724 0.2967238818319484 0.6263509250839919 0.32961182160492003 0.37632178004888145 0.1058685946067676 0.6523350784403749
72 720 0.3140671680637685 0 0 0.1574844682243647 0.3052315011616165 0.4071670140325009 0.26390323188336184 0.5446239354132956 0.28570690575148516 0.3291945007202944 0.0910773377990548 0.5631846245706256
73 730 0.28004288174973935 0 0 0.13770541033220338 0.2609608532534197 0.36253571834569137 0.23434079564979826 0.4840049860496741 0.25188808293133874 0.29181017293381806 0.07713979115943925 0.5041621041134907
74 740 0.24496920022930227 0 0 0.11863785403991223 0.2256936332594568 0.3192267820632131 0.20613560953441556 0.42304803795210794 0.22055644295532476 0.2542237124390759 0.06390712084321316 0.441070127000543
75 750 0.2356799283206133 0 0 0.11392658062598941 0.21819890164830064 0.31914789046423503 0.1955019132816826 0.4019905848002865 0.2135825347045609 0.2445082464527619 0.060896478892031154 0.4132791074559842
76 760 0.22357828440028954 0 0 0.10985933833948418 0.20788111038977072 0.3072078447466456 0.1892330989759805 0.3738584425197535 0.2052187895841716 0.23029356755584576 0.05449985409676217 0.3930317230541055
77 770 0.21965393586693027 0 0 0.10637538896830949 0.20063696408683496 0.2945185080955069 0.18484876243873694 0.38862679448989734 0.20249355423177282 0.22553664350938216 0.05327221283011504 0.3915384361243389
78 780 0.2001919039074603 0 0 0.09529059897093328 0.18254464682454752 0.2682631705860188 0.16798032750885578 0.35386646130838867 0.1830858047330393 0.2053122161570744 0.04687545708052634 0.3597589002872871
79 790 0.20765607112583936 0 0 0.09994528525100295 0.1863875275431007 0.28688614193715145 0.18318631590730572 0.38509577243154686 0.18753697591966623 0.21184022691973228 0.04700369700133338 0.3936229125680939
80 800 0.21093466232704097 0 0 0.09900997881337545 0.18710180647416264 0.29402667161802915 0.18993783985996918 0.3964757150958763 0.19034702429458258 0.22285555057610637 0.04560001517572875 0.4090770146813037
81 810 0.20268663414607477 0 0 0.09565009867030466 0.17638433915133062 0.2864816605343813 0.18546053598399087 0.391808134922496 0.18360377019302881 0.21399277581983822 0.04275390893325707 0.400778274998567
82 820 0.19848447605893133 0 0 0.09412027408571941 0.1702171529480919 0.27927504905132594 0.18261818170728045 0.4056922962168425 0.17861537493730903 0.2093193087606385 0.041364475378872 0.3963816916925553
83 830 0.19408165456226678 0 0 0.09004786179055174 0.1656591726054998 0.26937835320824133 0.174557554966027 0.4075584245241076 0.17205838574664592 0.20433320080158393 0.03997872279940895 0.39531771616625705
84 840 0.17578618241858554 0 0 0.08071518605195337 0.14719034310152462 0.2459208356169266 0.15855181887146494 0.37443770984657737 0.15533799081756788 0.17882571476659315 0.035872868950801794 0.3585891271200561
